id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
50050,50191,88955,4023,,,,10.245607,-42.121942,31.0752,-150.68,49.84,7.0,3.85,1.388,A2V,0.051,-20.660362,10.218175,-20.842511,0.00000079,0.00002493,0.00000077,2.682293681974029,-0.7351665677275424,-0.0000007305172539,0.000000241631138,,,Vel,1,50050,,24.25492857109422,,,
61088,61281,109387,4787,,5Kap Dra,,12.558058,69.788238,150.3759,-58.14,11.42,-11.0,3.85,-2.036,B6IIIp,-0.116,-51.400013,-7.563147,141.115978,0.0000054,0.00004363,-0.00000768,3.2876918766316034,1.2180345244500674,-0.0000002818706739,0.000000055365722,Kap,5,Dra,1,61088,,568.0675741067723,Kap,3.859,3.829
61429,61622,109787,4802,,Tau Cen,,12.628394,-48.541304,40.2414,-186.61,-6.45,5.0,3.85,0.827,A2V,0.049,-26.283342,-4.363283,-30.158275,-0.00000837,0.00003551,-0.00000467,3.306105853780419,-0.8472055736167176,-0.0000009047108093,-0.000000031270482,Tau,,Cen,1,61429,,40.66305463404283,,,
77836,78072,142860,5933,Gl 603,41Gam Ser,,15.940882,15.661617,11.2537,311.2,-1282.17,6.6,3.85,3.594,F6V,0.478,-5.56255,-9.299226,3.038014,0.00000154,-0.0000305,-0.00006553,4.173313184476521,0.27334677981378874,0.0000015087401739,-0.000006216135567,Gam,41,Ser,1,77836,,3.179801427691526,,,
89860,90139,169414,6895,,109    Her,Tusizuo,18.394967,21.769752,36.4697,195.54,-242.92,-58.0,3.85,1.04,K2III,1.168,3.495833,-33.687362,13.525603,0.00003034,0.00004252,-0.00006188,4.815791066040871,0.37995385004282,0.000000948004671,-0.000001177709392,,109,Her,1,89860,,33.419504002611426,,,
90835,91117,171443,6973,,Alp Sct,,18.586785,-8.244073,61.0501,-18.98,-314.63,36.0,3.85,-0.078,K2III,1.317,9.245186,-59.708018,-8.754035,-0.00000202,-0.00002367,-0.00009743,4.8660089838456795,-0.14388621598122622,-0.0000000920176366,-0.000001525369283,Alp,,Sct,1,90835,,93.58365435835302,,,
4426,4436,5448,269,,37Mu  And,,0.945885,38.499345,39.7772,152.78,36.82,8.0,3.86,0.862,A5V,0.13,30.180673,7.630372,24.761577,-0.0000053,0.00002905,0.00001065,0.2476321701104851,0.6719403219484738,0.0000007406983412,0.000000178508397,Mu,37,And,1,4426,,39.37313537008504,,,
21541,21594,29503,1481,GJ 9160A,53    Eri,Sceptrum,4.63634,-14.30402,33.6814,-77.86,-178.06,41.8,3.86,1.223,K1III,1.082,11.405856,30.579706,-8.321655,0.00002388,0.00002764,-0.00003873,1.2137910800855978,-0.24965224051834126,-0.0000003774759317,-0.000000863259239,,53,Eri,1,21541,GJ 9160,28.235793691102995,,,
25794,25859,36597,1862,,Eps Col,,5.520209,-35.470519,80.7103,28.36,-34.11,-5.0,3.86,-0.675,K1II/III,1.13,8.234768,65.213718,-46.834868,-0.0000125,-0.00001043,-0.0000079,1.4451873070651484,-0.6190773399870275,0.0000001374931598,-0.000000165369946,Eps,,Col,1,25794,,162.18100973589299,,,
79423,79664,145544,6030,,Del TrA,,16.257297,-63.685682,186.2197,3.51,-13.49,-5.0,3.86,-2.49,G5II,1.105,-36.369544,-74.106715,-166.92277,0.00000865,0.00001044,-0.00000081,4.256150322898402,-1.111524831261944,0.0000000170169602,-0.000000065401365,Del,,TrA,1,79423,,862.9785477669702,,,
80819,81065,147675,6102,Gl 626.1,Gam Aps,,16.557609,-78.897148,47.9157,-125.68,-77.59,5.4,3.86,0.458,K0IV SB,0.923,-3.402312,-8.577006,-47.018913,-0.00002101,0.00002621,-0.00000889,4.334771780503956,-1.3770149964606724,-0.0000006093138337,-0.000000376166934,Gam,,Aps,1,80819,,57.12155216230428,,,
87537,87808,163770,6695,,91The Her,,17.93755,37.250539,230.9469,2.74,7.24,-27.0,3.86,-2.958,K1IIvar,1.35,-3.005409,-183.808118,139.792353,0.00000351,0.00002683,-0.00001026,4.69603961123408,0.6501445551294626,0.0000000132838948,0.00000003510051,The,91,Her,1,87537,,1328.0058862437309,,,
110049,110395,212061,8518,GJ 9779,48Gam Aqr,Sadachbia,22.360938,-1.387331,50.2008,129.24,8.9,-25.6,3.86,0.356,A0V,-0.057,45.635919,-20.880207,-1.215412,-0.00001067,0.00003947,0.0000028,5.8540797645155065,-0.02421350245135125,0.0000006265732008,0.000000043148417,Gam,48,Aqr,1,110049,,62.7480161997852,,,
17532,17573,23408,1149,,20    Tau,Maia,3.763779,24.367748,117.5088,21.09,-45.03,8.0,3.87,-1.48,B8III,-0.063,59.14718,89.215057,48.48319,-0.00000005,0.00002167,-0.00001999,0.9853551086630458,0.42529744177350004,0.0000001022472052,-0.0000002183116,,20,Tau,1,17532,,340.4081897010009,,,
42904,43023,75063,3487,,,,8.767124,-46.041527,568.1818,-12.23,4.82,24.0,3.87,-4.902,A1III,0.015,-261.370054,295.35393,-409.001899,0.0000076,0.00004224,-0.00000845,2.29522777618876,-0.8035762455298338,-0.0000000592927131,0.000000023368019,,,Vel,1,42904,,7957.927898970918,,,
68064,68282,121790,5249,,Ups1Cen,,13.977987,-44.803584,131.0616,-27.97,-21.69,5.0,3.87,-1.717,B2IV-V,-0.208,-80.799834,-46.030955,-92.356336,-0.00000351,0.00001845,-0.00001338,3.6594285674791185,-0.7819700581157613,-0.0000001356023865,-0.000000105156087,Ups-1,,Cen,1,68064,,423.44791616920764,,,
71731,71957,129502,5487,GJ 9491,107Mu  Vir,,14.717673,-5.658207,18.2715,104.23,-319.9,4.7,3.87,2.561,F2III,0.385,-13.771311,-11.872446,-1.801463,0.00000452,-0.00000829,-0.00002867,3.8530777945613686,-0.09875433454093499,0.0000005053212992,-0.000001550918964,Mu,107,Vir,1,71731,,8.233794052101345,,,
77868,78104,142669,5928,,5Rho Sco,Iklil,15.948077,-29.214073,144.7178,-15.2,-25.1,3.3,3.87,-1.933,B2IV/V,-0.199,-64.636099,-108.519131,-70.633018,-0.00000627,0.00001031,-0.00001702,4.175196831197805,-0.5098817647720387,-0.0000000736916794,-0.000000121688233,Rho,5,Sco,1,77868,,516.6542425669502,,,
97493,97804,187929,7570,,55Eta Aql,,19.874547,1.005661,423.7288,6.94,-7.3,-15.0,3.87,-4.265,F6Ibv SB,0.63,199.669191,-373.661462,7.43694,0.00000547,0.00002001,-0.00001526,5.203144132403107,0.0175520873252675,0.0000000336460694,-0.000000035391398,Eta,55,Aql,1,97493,,4425.88372362626,Eta,4.286,3.606
763,765,496,25,Gl 9.1,Eps Phe,,0.156836,-45.747426,44.2087,122.15,-180.13,-9.2,3.88,0.652,K0III,1.013,30.82377,1.266396,-31.665333,-0.00003526,0.00002475,-0.0000202,0.04105967874921949,-0.7984432093302175,0.0000005921999108,-0.000000873294882,Eps,,Phe,1,763,,47.7749234659094,,,
8813,8832,11502,546,,5Gam2Ari,Mesarthim,1.89217,19.293852,50.3018,79.43,-99.1,-1.0,3.88,0.372,A1p Si,-0.047,41.769649,22.568336,16.620371,-0.00000303,0.00002038,-0.00002315,0.4953689125156816,0.3367412380593763,0.0000003850875065,-0.000000480450357,Gam-2,5,Ari,1,8813,,61.83010727517132,Gam,3.892,3.872
48318,48455,85503,3905,,24Mu  Leo,Rasalas,9.879398,26.006951,38.0518,-216.29,-54.92,14.0,3.88,0.978,K0III,1.222,-29.062466,18.02588,16.685015,0.00000632,0.00004303,-0.00000283,2.5864202487192904,0.45390693122786124,-0.0000010486035097,-0.000000266259673,Mu,24,Leo,1,48318,,35.383435681472214,,,
74148,74376,134481,5646,,Kap1Lup,,15.198918,-48.737819,55.1876,-96.52,-47.97,-6.0,3.88,0.171,B9V,-0.029,-24.36173,-27.040918,-41.484457,-0.00001002,0.00002746,-0.00000385,3.979067417506061,-0.8506354049448176,-0.0000004679421645,-0.000000232565122,Kap-1,,Lup,1,74148,,74.40463661919195,,,
114059,114421,218670,8820,,Iot Gru,,23.17264,-45.246711,56.1798,132.42,-26.27,-4.0,3.88,0.132,K0III SB,0.998,38.629453,-8.500488,-39.895777,-0.00000002,0.00003693,-0.00000213,6.066583043414913,-0.7897040864048387,0.0000006419902758,-0.000000127360553,Iot,,Gru,1,114059,,77.12585649892138,,,
13667,13701,18322,874,,3Eta Eri,Azha,2.940458,-8.898144,41.8585,77.73,-219.99,-20.0,3.89,0.781,K1III-IV,1.088,29.694338,28.782724,-6.474577,-0.00003045,-0.00000754,-0.00004094,0.7698101253996465,-0.15530191723913125,0.0000003768456739,-0.000001066541615,Eta,3,Eri,1,13667,,42.42286549229506,,,
33065,33152,50877,2580,,16Omi1CMa,,6.902209,-24.184211,100000.0,-3.46,5.02,36.0,3.89,-16.11,K3Iab,1.74,-21346.953289,88690.467029,-40967.166217,0.00138958,0.00139444,0.00220488,1.8069941172226582,-0.4220941040455975,-0.0000000167745533,0.000000024337646,Omi-1,16,CMa,1,33065,,242102904.673618,Omi-1,4.086,3.826
45204,45336,79469,3665,,22The Hya,,9.239405,2.31428,34.7947,112.57,-306.07,-10.0,3.89,1.182,B9.5V,-0.06,-26.074955,22.995381,1.405035,-0.00000646,-0.00001962,-0.000052,2.4188706353541516,0.040391810144220004,0.0000005457547602,-0.000001483869232,The,22,Hya,1,45204,,29.322432823031154,,,
59945,60129,107259,4689,,15Eta Vir,Zaniah,12.331766,-0.666803,81.367,-59.14,-23.13,2.0,3.89,-0.662,A2IV,0.026,-81.054806,-7.05786,-0.946921,-0.00000396,0.00002307,-0.00000915,3.2284487342104065,-0.011637912202285,-0.0000002867188107,-0.000000112137404,Eta,15,Vir,1,59945,,160.25072388814195,,,
97799,98110,188947,7615,,21Eta Cyg,,19.938438,35.083424,41.3736,-34.0,-27.6,-27.0,3.89,0.806,K0IIIvar,1.019,16.453496,-29.589591,23.780105,-0.0000154,0.00001365,-0.0000204,5.219870818679301,0.6123212551749687,-0.0000001648366514,-0.000000133808575,Eta,21,Cyg,1,97799,,41.45720317867256,,,
47297,47431,83618,3845,,35Iot Hya,Ukdah,9.664267,-1.14281,80.7103,47.81,-62.92,23.0,3.9,-0.635,K3IIIvar,1.313,-66.071937,46.325951,-1.609728,-0.00002959,-0.0000021,-0.00002508,2.530099227157431,-0.01994579914171125,0.0000002317894207,-0.000000305044767,Iot,35,Hya,1,47297,,156.3147642640954,,,
55260,55425,98718,4390,,Pi  Cen,,11.350117,-54.491019,109.6491,-35.32,-2.2,9.0,3.9,-1.3,B5Vn,-0.157,-62.768014,10.783606,-89.257117,-0.00000115,0.00001925,-0.00000817,2.9714537086833204,-0.951047698326625,-0.000000171236192,-0.0000000106659,Pi,,Cen,1,55260,,288.40315031266056,,,
65729,65936,117440,5089,,,,13.517405,-39.407307,277.7778,-15.65,-11.25,-2.0,3.9,-3.318,G8II/III,1.186,-197.912019,-83.036359,-176.341407,0.00000217,0.00002377,-0.00001041,3.538848444108266,-0.6877872582384663,-0.000000075873341,-0.000000054541539,,,Cen,1,65729,,1850.1204347718585,,,
18860,18907,25490,1251,,38Nu  Tau,,4.052606,5.989305,35.8551,5.52,-1.63,-6.0,3.91,1.137,A1V,0.032,17.402678,31.124499,3.741217,-0.0000038,-0.00000483,-0.00000092,1.0609696511650075,0.10453309385345749,0.0000000267617152,-0.000000007902462,Nu,38,Tau,1,18860,,30.563282803659664,,,
41190,41307,71155,3314,,,,8.427676,-3.906424,37.5094,-66.05,-24.2,10.0,3.91,1.039,A0V,-0.012,-22.21508,30.115144,-2.555415,0.00000379,0.0000151,-0.00000509,2.206360325079935,-0.0681799535929625,-0.000000320219436,-0.00000011732491,,,Hya,1,41190,,33.45029868260137,,,
60635,60823,108483,4743,,Sig Cen,,12.467331,-50.230635,126.2626,-32.49,-12.41,8.0,3.91,-1.596,B3V,-0.192,-80.166328,-9.857284,-97.048731,-0.00000183,0.00001981,-0.00001115,3.263939693735308,-0.8766899644470487,-0.0000001575159648,-0.000000060165377,Sig,,Cen,1,60635,,378.7913037851569,,,
73579,73807,133242,5605,,Pi  Lup,,15.085303,-47.051245,135.8696,-23.39,-21.11,5.0,3.91,-1.756,B5,-0.144,-63.981638,-66.905071,-99.451605,-0.00000651,0.00001549,-0.00001322,3.949323173768201,-0.8211991435114612,-0.0000001133979199,-0.000000102344167,Pi,,Lup,1,73579,,438.9347855347174,,,
76100,76333,138905,5787,GJ 3912,38Gam Lib,Zubenelhakrabi,15.592105,-14.789537,50.025,65.67,6.93,-28.2,3.91,0.414,K0III,1.007,-28.510476,-39.071229,-12.769777,0.00002905,0.00001279,0.00000899,4.08200351280001,-0.258126111021105,0.000000318377144,0.000000033597588,Gam,38,Lib,1,76100,,59.48397740692212,,,
79750,79992,147394,6092,,22Tau Her,,16.329011,46.313366,94.2507,-13.15,39.31,-14.0,3.91,-0.961,B5IV,-0.151,-27.579279,-58.969611,68.155258,0.00000425,0.00002327,0.00000205,4.2749251221612585,0.8083207295772488,-0.000000063752999,0.000000190580257,Tau,22,Her,1,79750,,211.0571162884348,,,
82952,83207,153808,6324,,58Eps Her,,17.004827,30.926405,47.5285,-47.68,26.89,-25.0,3.92,0.535,A0V,-0.018,-10.50257,-39.395153,24.426522,-0.00000414,0.0000271,-0.00000783,4.451853377357325,0.5397675857059825,-0.0000002311591629,0.000000130366398,Eps,58,Her,1,82952,,53.21082592667942,,,
94873,95168,181577,7340,GJ 4107,44Rho1Sgr,,19.361211,-17.847197,38.9257,-26.95,22.24,1.2,3.92,0.969,F0III/IV,0.228,12.926473,-34.724544,-11.929933,-0.00000391,-0.00000407,0.00000362,5.068753175748739,-0.3114923575525825,-0.0000001306572869,0.000000107822562,Rho-1,44,Sgr,1,94873,,35.67795882885623,Rho-1,3.942,3.912
104649,104987,202447,8131,,8Alp Equ,Kitalpha,21.263731,5.247845,58.3431,59.63,-94.33,-16.0,3.92,0.09,G0III+...,0.549,43.818116,-38.149671,5.336289,0.00000063,0.00002182,-0.00002806,5.56683174357598,0.09159216640849001,0.0000002890943977,-0.000000457324744,Alp,8,Equ,1,104649,,80.16780633876789,,,
2069,2072,2262,100,Gl 20,Kap Phe,,0.436716,-43.679829,23.8095,106.14,32.83,11.3,3.93,2.046,A7V,0.175,17.106924,1.964466,-16.443574,0.00000951,0.00001342,-0.00000524,0.11433201758585475,-0.7623568403121038,0.0000005145812405,0.000000159164331,Kap,,Phe,1,2069,,13.231223331133709,,,
7068,7083,9362,440,,Del Phe,,1.520851,-49.072702,43.573,138.22,154.2,-7.0,3.93,0.734,K0III-IV,0.972,26.31178,11.067445,-32.92116,0.00000704,0.00003464,0.00002675,0.39815775445785606,-0.8564802246514187,0.0000006701094693,0.000000747582695,Del,,Phe,1,7068,,44.299619910036355,,,
13497,13531,17878,854,,18Tau Per,,2.904295,52.762479,77.9423,-1.99,-4.53,2.0,3.93,-0.529,G4III...,0.758,34.175398,32.504346,62.052515,0.0000024,0.00000125,0.00000059,0.7603426015818179,0.9208789768319837,-0.0000000096477922,-0.000000021962059,Tau,18,Per,1,13497,,141.77511231219995,Tau,3.945,3.925
21391,21444,29248,1463,,48Nu  Eri,,4.605317,-3.352459,207.0393,1.73,-4.54,15.0,3.93,-2.65,B2III SB,-0.21,73.800655,193.060106,-12.107266,0.00000375,0.00001468,-0.00000545,1.205669195388671,-0.05851144759223375,0.0000000083872767,-0.000000022010541,Nu,48,Eri,1,21391,,1000.0,Nu,3.979,3.859
37397,37504,63295,3024,,Zet Vol,,7.697004,-72.606098,43.2339,33.38,15.29,48.0,3.93,0.751,K0III,1.033,-5.555002,11.669749,-41.257317,-0.00001394,0.000013,-0.00004589,2.0150710100195575,-1.2672154673799036,0.0000001618308066,0.000000074128011,Zet,,Vol,1,37397,,43.61139713930644,,,
54304,54463,96918,4337,,,,11.143165,-58.975037,100000.0,-5.03,2.09,7.0,3.93,-16.07,G0Ia0,1.225,-50249.82514,11464.949662,-85694.282278,-0.00030767,0.00257126,0.00051607,2.917273675621379,-1.0293085683397063,-0.0000000243861281,0.000000010132605,,,Car,1,54304,,233345806.22810045,V382,3.991,3.901
78693,78933,144470,5993,,9Ome1Sco,,16.113452,-20.669192,144.5087,-10.55,-23.73,-3.0,3.93,-1.869,B1V,-0.046,-64.096463,-119.048882,-51.007488,-0.00000236,0.0000112,-0.00001447,4.2184917984563715,-0.36074546165500254,-0.0000000511478433,-0.000000115046286,Ome-1,9,Sco,1,78693,,487.07966649253666,,,
87920,88192,164353,6714,,67    Oph,,18.010754,2.931568,377.3585,0.41,-8.22,-4.0,3.93,-3.954,B5Ib,0.029,1.061054,-376.863133,19.299314,0.00000074,0.00000332,-0.00001523,4.715204463392691,0.05116550629776501,0.0000000019877361,-0.000000039851684,,67,Oph,1,87920,,3323.533035774778,,,
5337,5348,6882,338,,Zet Phe,Wurren,1.139742,-55.24576,91.5751,21.17,29.7,15.0,3.94,-0.869,B6V + B0V,-0.12,49.896436,15.346501,-75.238648,0.00001595,0.00001474,-0.00000509,0.2983838460567415,-0.9642204110904488,0.0000001026350562,0.000000143989663,Zet,,Phe,1,5337,,193.9099078614849,Zet,4.199,3.929
37340,37447,61935,2970,,26Alp Mon,,7.687454,-9.551131,45.3104,-74.8,-19.64,11.0,3.94,0.659,K0III,1.022,-19.103696,40.392645,-7.518267,0.00001042,0.00001641,-0.00000612,2.0125706488944606,-0.16669868015230252,-0.0000003626406331,-0.000000095217406,Alp,26,Mon,1,37340,,47.46789794829222,,,
37570,37677,62623,2996,,3    Pup,,7.73013,-28.954826,100000.0,-4.57,3.88,25.0,3.94,-16.06,A2Iab,0.16,-38291.587533,78676.76741,-48411.988585,0.00158373,0.00180838,0.00163342,2.02374340313513,-0.5053570434057625,-0.0000000221559852,0.00000001881077,,3,Pup,1,37570,,231206479.01755893,,,
42792,42911,74442,3461,,47Del Cnc,Asellus Australis,8.74475,18.154309,40.032,-17.1,-228.46,17.0,3.94,0.928,K0III,1.083,-25.041776,28.63397,12.473108,-0.00001747,0.00002502,-0.00003671,2.2893702005975305,0.31685245945332746,-0.0000000829031394,-0.000001107605334,Del,47,Cnc,1,42792,,37.05100563019239,,,
103081,103413,199629,8028,,58Nu  Cyg,,20.952893,41.167136,114.8106,8.51,-23.97,-28.0,3.94,-1.36,A1Vn,0.027,60.355787,-61.863108,75.574805,-0.00000553,0.00001245,-0.00002889,5.485454684004387,0.7185020581639088,0.0000000412576442,-0.000000116209839,Nu,58,Cyg,1,103081,,304.7894989627983,,,
9577,9598,12216,580,,50    Cas,,2.057268,72.421294,48.1696,-44.0,22.51,-14.0,3.95,0.536,A2V,-0.002,12.488444,7.46198,45.920103,-0.00000274,-0.00001361,-0.00001206,0.5385914914673299,1.2639900329011413,-0.0000002133180194,0.000000109131559,,50,Cas,1,9577,,53.161839507396266,,,
31512,31592,47205,2429,Gl 239.1,7Nu 2CMa,,6.611399,-19.255879,19.7511,62.32,-69.91,4.1,3.95,2.472,K1III+...,1.037,-2.971851,18.407811,-6.513678,-0.00000617,0.00000078,-0.0000077,1.7308601236890002,-0.336078491665885,0.0000003021358857,-0.000000338933244,Nu-2,7,CMa,1,31512,,8.937169608501975,,,
118887,,116657,5055,GJ 3784B,79Zet UMa,,13.398996,54.920471,24.1546,105.74,-30.32,-9.3,3.95,2.035,A1 m,0.13,-12.960884,-4.971592,19.766651,0.00000682,-0.00001064,-0.00000982,3.507849063099291,0.9585430452246501,0.0000005126419858,-0.000000146995507,Zet,79,UMa,2,118887,GJ 3784,13.365955165464419,,,
19296,19343,25940,1273,,48    Per,,4.144357,47.712513,146.1988,20.19,-33.26,1.0,3.96,-1.865,B3Ve,-0.025,45.931031,86.988502,108.154671,-0.00000419,0.00002271,-0.0000151,1.0849901114839684,0.8327404400709875,0.0000000978838821,-0.00000016124903,,48,Per,1,19296,,485.28850016212095,MX,3.974,3.954
28256,28328,40808,2120,,Eta Col,,5.985778,-42.815135,144.7178,18.53,-11.45,17.0,3.96,-1.843,K0III,1.146,0.395224,106.157169,-98.3554,-0.00001297,0.00000734,-0.00001771,1.5670730510647812,-0.7472650817227025,0.000000089835975,-0.000000055511166,Eta,,Col,1,28256,,475.55417631520834,,,
44120,44248,76943,3579,Gl 332A,,,9.010685,41.782911,16.0694,-487.67,-219.29,27.1,3.96,2.93,F5V,0.463,-8.496677,8.449391,10.707365,0.00000406,0.00004954,0.00000573,2.3589919414548355,0.7292493664557,-0.000002364290876,-0.00000106314792,,,Lyn,1,44120,Gl 332,5.861381645140285,,,
